大鱼,2003,8.8,547643人
新世界,2013,8.9,400613人
哪吒闹海,1979,9.2,246100人
射雕英雄传之东成西就,1993,8.7,607220人
阳光姐妹淘,2011,8.8,574245人
我是山姆,2001,9.0,323379人
头号玩家,2018,8.7,1311117人
恐怖直播,2013,8.7,626047人
模仿游戏,2014,8.8,618219人
喜宴,1993,9.0,341111人
血战钢锯岭,2016,8.7,755596人
七武士,1954,9.3,187963人
花样年华,2000,8.7,574729人
九品芝麻官,1994,8.7,635595人
头脑特工队,2015,8.8,580670人
黑客帝国3：矩阵革命,2003,8.8,429143人
电锯惊魂,2004,8.8,507219人
惊魂记,1960,9.0,273274人
三块广告牌,2017,8.7,788880人
你的名字。,2016,8.5,1329962人
色，戒,2007,8.6,747103人
达拉斯买家俱乐部,2013,8.8,435029人
卢旺达饭店,2004,8.9,314929人
茶馆,1982(中国大陆),9.5,125175人
疯狂原始人,2013,8.7,806851人
上帝之城,2002,9.0,290820人
心迷宫,2014,8.7,495374人
谍影重重3,2007,8.8,401028人
英雄本色,1986,8.6,511008人
风之谷,1984,8.9,342176人
纵横四海,1991,8.8,402411人
海街日记,2015,8.8,425701人
绿里奇迹,1999,8.9,312273人
爱在午夜降临前,2013,8.9,377250人
记忆碎片,2000,8.7,578403人
岁月神偷,2010,8.7,558870人
忠犬八公物语,1987,9.2,185554人
荒蛮故事,2014,8.8,424109人
爆裂鼓手,2014,8.7,559873人
疯狂的石头,2006,8.6,783236人
小偷家族,2018,8.7,783778人
无敌破坏王,2012,8.7,512947人
贫民窟的百万富翁,2008,8.6,720243人
雨中曲,1952,9.1,210610人
冰川时代,2002,8.6,587774人
东邪西毒,1994,8.6,553282人
真爱至上,2003,8.6,701091人
恐怖游轮,2009,8.5,815352人
2001太空漫游,1968,8.9,303637人
无间道2,2003,8.7,449369人
背靠背，脸对脸,1994,9.5,119164人
你看起来好像很好吃,2010,8.9,319854人
小丑,2019,8.7,962089人
黑天鹅,2010,8.6,757614人
牯岭街少年杀人事件,1991,8.9,280193人
